Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,97,false,,2026-05-01T04:02:52Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:0JX23XA8E7aN1Chj32kgVn,"Spitting Off the Edge of the World","Cool It Down","Yeah Yeah Yeahs;Perfume Genius",2022-09-30,257746,72,false,,2026-05-01T04:02:52Z,"indie rock,art pop","Secretly Canadian",0.413,0.722,2,-5.875,1,0.036,0.00342,0.00000313,0.0626,0.0803,109.948,4
spotify:track:2MvvoeRt8NcOXWESkxWn3g,"Ribs","Pure Heroine","Lorde",2013-09-27,258969,85,false,,2026-05-01T04:02:52Z,"","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
spotify:track:5vTSnZTmS1gMiWuA9kDE19,"Futile Devices (Doveman Remix)","Call Me By Your Name (Original Motion Picture Soundtrack)","Sufjan Stevens",2017-11-03,135443,83,false,,2026-05-01T04:02:52Z,"baroque pop","Masterworks",0.462,0.187,4,-19.991,1,0.0304,0.954,0.847,0.0985,0.252,140.096,4
spotify:track:4JGKZS7h4Qa16gOU3oNETV,"Dreams","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,271560,85,false,,2026-05-01T04:02:52Z,"","Island Records",0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4
spotify:track:0WAEGVylZjbe2mQ6Or6HxY,"Cannock Chase","Crying Laughing Loving Lying","Labi Siffre",1972,246866,79,false,,2026-05-01T04:02:52Z,"","Edsel",0.381,0.484,6,-11.858,0,0.0334,0.861,0.931,0.129,0.492,123.7,4
spotify:track:2B664ulJSVBd6B8SAY3Wux,"Oysters In My Pocket","Oysters In My Pocket","Royel Otis",2022-03-10,162338,77,false,,2026-05-01T04:02:52Z,"indie","House Anxiety / Ourness",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,4
spotify:track:4dyx5SzxPPaD8xQIid5Wjj,"Young Folks","Writer's Block","Peter Bjorn and John",2006-01-01,276693,82,false,,2026-05-01T04:02:52Z,"indie","Universal Music AB",0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,4
spotify:track:6IAuH3hgTRpUUdmOGubXGS,"Can I Call You Rose?","Thee Sacred Souls","Thee Sacred Souls",2022-08-26,190546,77,false,,2026-05-01T04:02:52Z,"retro soul","Penrose / Daptone Records",0.302,0.4,0,-8.212,0,0.0364,0.719,0.000621,0.172,0.421,180.852,3
spotify:track:1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,86,false,,2026-05-01T04:02:52Z,"indie","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
spotify:track:1LzNfuep1bnAUR9skqdHCK,"Fade Into You","So Tonight That I Might See","Mazzy Star",1993-10-05,295600,88,false,,2026-05-01T04:02:52Z,"dream pop,shoegaze,slowcore","Capitol Records",0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
spotify:track:5LlExBVApHgxWQf6BbsCwo,"End of August","The Great Divide: The Last Of The Bugs","Noah Kahan",2026-04-25,317232,84,true,,2026-05-01T04:02:52Z,"","Mercury Records",0.342,0.39,0,-9.085,1,0.0343,0.75,0.000019,0.0948,0.0753,113.744,4
spotify:track:21uFPefbgeR3QLVJWATlrr,"Scott Street","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,305000,73,true,,2026-05-01T04:02:52Z,"","Dead Oceans",0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,4
spotify:track:5gSHlT2SI0dtjeHrjj96A1,"Here's Where the Story Ends","Reading Writing And Arithmetic","The Sundays",1990,230040,68,false,,2026-05-01T04:02:52Z,"dream pop,jangle pop","Parlophone UK",0.622,0.693,7,-8.619,1,0.0274,0.288,0.00000106,0.136,0.843,109.055,4
spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up, We're Dreaming","M83",2011-10-17,243960,83,false,,2026-05-01T04:02:52Z,"","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
spotify:track:5XpfG1xcdznjc3BPdotlXK,"Gracie","F.I.G","Naomi Scott",2026-03-20,174107,57,false,,2026-05-16T03:46:07Z,"","ALTER Music LLC",0.853,0.416,10,-9.61,0,0.0495,0.211,0.0405,0.114,0.509,110.976,4
spotify:track:4iG2gAwKXsOcijVaVXzRPW,"Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,81,true,,2026-05-01T04:02:52Z,"indie","Red Ink/Columbia",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,"Brazil","What Do You Think About the Car?","Declan McKenna",2017-04-21,252305,83,false,,2026-05-01T04:02:52Z,"","Columbia",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
spotify:track:1LomCMl5wD3MPVlC6smUHe,"Don’t Delete The Kisses","Visions Of A Life","Wolf Alice",2017-09-29,275226,71,false,,2026-05-01T04:02:52Z,"indie","Dirty Hit",0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,4
