Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4yy1nP1YEXC2sXbJ15kEKu,"Spuds","My Me, My Who, My How","Bert",2024-10-23,136000,10,false,college.music,2024-10-28T17:07:10Z,"lo-fi hip hop","Well Overdue Recordings",0.621,0.352,11,-12.901,1,0.0597,0.891,0.0000849,0.152,0.432,89.897,4
spotify:track:7IlbkAuLPBGpOJAJDnGORt,"If Only","Intervention","LFay",2024-09-25,249230,24,false,college.music,2024-10-10T17:37:41Z,"","Well Overdue Recordings",0.558,0.438,8,-8.51,1,0.152,0.735,0.052,0.108,0.193,78.342,4
spotify:track:7aw3JefvXoN0DaGbwaJpdG,"Runaway","My Me, My Who, My How","Bert",2024-10-23,201913,8,false,college.music,2024-10-28T17:07:10Z,"lo-fi hip hop","Well Overdue Recordings",0.821,0.242,6,-13.647,1,0.0742,0.876,0.0993,0.112,0.33,115.077,4
spotify:track:0jIELoEl66oS16vQ9SkLDB,"trust","loh end","TAMBALA;Shiloh Dynasty",2024-08-23,167088,12,false,college.music,2024-09-20T15:07:32Z,"lo-fi beats,lo-fi hip hop","Create Capital",0.63,0.338,11,-12.165,0,0.211,0.645,0.241,0.117,0.195,158.061,4
spotify:track:6CTFPgVRuChBqQ7JhtGXBU,"Ten Foot Two","My Me, My Who, My How","Bert;Hannah Willwood",2024-10-23,110400,16,false,college.music,2024-10-28T17:07:10Z,"lo-fi hip hop","Well Overdue Recordings",0.628,0.167,7,-13.606,1,0.0615,0.964,0.487,0.103,0.295,74.859,4
spotify:track:5zwmanzZRqPrXyVbXon359,"Where We Started - Ajmw Remix","Crying at Karaoke (Remixes)","Dwyer;Honey Mooncie;Ajmw",2024-09-20,220235,11,false,college.music,2024-09-20T15:07:32Z,"lo-fi beats,lo-fi hip hop,lo-fi,jazz beats,jazz house","College Music Records",0.397,0.7,4,-11.312,0,0.0781,0.558,0.283,0.109,0.808,169.99,4
spotify:track:1w0FPrQvknXEWAAKcipcPq,"My Me, My Who, My How","My Me, My Who, My How","Bert",2024-10-23,155076,9,false,college.music,2024-10-28T17:07:10Z,"lo-fi hip hop","Well Overdue Recordings",0.617,0.268,6,-13.673,1,0.0352,0.91,0.147,0.977,0.398,129.688,4
spotify:track:65Mf6ctmDSKS3EyslOgxOG,"You and Me","You and Me","falcxne;Shalo Alto",2020-11-29,179802,0,false,college.music,2024-09-20T15:07:32Z,"lo-fi beats,lo-fi hip hop","Independent",0.307,0.509,0,-4.036,0,0.0346,0.895,0.045,0.107,0.0659,57.224,3
spotify:track:6lqfwT7ov5bHYblCtekFoo,"Glimpse","College Music Presents: In The Loop","Apollo Brown",2022-12-08,153800,9,false,college.music,2024-09-20T15:07:32Z,"underground hip hop,boom bap,hip hop","College Music Records",0.413,0.569,9,-11.572,1,0.123,0.299,0.751,0.275,0.54,74.703,4
spotify:track:5SWXLLtuTCd8scGUO971sw,"Real MR","mosey riles","mosey riles",2023-03-03,89800,0,false,college.music,2024-09-20T15:07:32Z,"lo-fi hip hop,lo-fi beats","College Music Records",0.744,0.306,6,-12.977,0,0.0875,0.572,0.94,0.11,0.983,150.064,4
spotify:track:6jlEaIdktJfsMOfG0mdwRZ,"heavy heart","loh end","TAMBALA;Shiloh Dynasty",2024-08-23,134357,10,false,college.music,2024-09-20T15:07:32Z,"lo-fi beats,lo-fi hip hop","Create Capital",0.666,0.339,8,-16.929,0,0.121,0.655,0.255,0.123,0.519,153.582,4
spotify:track:46dXCJ2mDj5aUwItgqkGLG,"Drifting","Drifting","Avanti;Nanna Prip",2026-02-11,136744,11,false,college.music,2026-03-16T11:44:36Z,"","Groover Obsessions",0.606,0.307,7,-12.133,1,0.0646,0.889,0.0135,0.16,0.267,85.982,4
